matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
2006,202000856,2020-07-02,2020-07-03,,Cincinnati City Council,Ordinance,Pass Emergency,Greg Landsman,,emergency ordinance,Requiring facial coverings during COVID-19 emergency,Requires wearing facial coverings in certain circumstances during the COVID-19 state emergency.,public safety|health,citywide,"ORDINANCE (EMERGENCY), dated 07/02/2020, submitted by Councilmember Landsman, from Paula Boggs Muething, City Solicitor, REQUIRING facial coverings to b e worn in certain circumstances during the pendency of COVID-19 emergency declared by the State of Ohio.",This item was received on 7/2/20 by the clerk's office for placement on the next budget agenda for 7/3/20./ran,success
2007,202000857,2020-07-03,2020-07-03,2020-07-03,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0246-2020,emergency ordinance,Requiring facial coverage during COVID-19 emergency declaration,Requires face masks to be worn in certain circumstances during the COVID-19 pandemic emergency declaration.,public safety|health,citywide,"ORDINANCE, (EMERGENCY) (VERSION B), submitted by Paula Boggs Muething, City Solicitor, on July 3, 2020, REQUIRING facial coverage to be worn in certain circumstances during the pendency of the Mayor's June 29, 2020 emergency declaration for the safe reopening of Cincinnati during the COVID-19 pandemic.",,success
2008,202000841,2020-07-01,2020-08-05,2020-08-05,Cincinnati City Council,Appointment,Confirmed,Mayor,,appointment,Appointment of Olivia McKinney to City Planning Commission,Mayor appoints Olivia McKinney to City Planning Commission to fill unexpired term through March 2023.,elections and governance,citywide,"APPOINTMENT,  submitted by Mayor John Cranley, I hereby appoint Olivia McKinney to the City Planning Commission. Ms. McKinley is filling the unexpired term of Melissa Wideman and the term shall expire on March 14, 2023. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
2009,202000834,2020-07-01,2020-08-04,2020-08-04,Law & Public Safety Committee,Communication,Filed/Sunset,Greg Landsman,,other,Protests and Pandemic Response for Law Enforcement and Local Government,"Communication regarding how law enforcement, prosecutors, courts and local governments should respond to protests during pandemic.",public safety|elections and governance,citywide,"COMMUNICATION, submitted by Councilmember Landsman, regarding Protests and Pandemic: Concrete Ways for Law Enforcement, Prosecutors, Courts and Local Governments to Respond",,success
2010,202000832,2020-07-01,2020-08-05,2020-08-05,Cincinnati City Council,Motion,Adopted,Budget and Finance Committee,,motion,Re-join Ohio Checkbook program for public access to city expenses,Motion to re-join Ohio Checkbook program providing public access to searchable city expense data.,elections and governance,citywide,"MOTION, submitted by Councilmembers Seelbach, Sittenfeld, Young, Pastor, Kearney, Landsman and Sundermann, WE MOVE that the Administration immediately re-join the Ohio Checkbook program, allowing for easy access by the public to all expenses of the City of Cincinnati in a centralized, searchable location.",,success
2011,202000831,2020-07-01,2020-08-05,2020-08-05,Cincinnati City Council,Motion,Adopted,Law & Public Safety Committee,,motion,Review of CPD non-lethal force techniques including pepper spray for crowd control,Directs administration to review Cincinnati Police Department's non-lethal force techniques including pepper spray for crowd control.,public safety,citywide,"MOTION (AMENDED), submitted by Councilmembers Seelbach, Sittenfeld, Young, Landsman and Kearney, WE MOVE that the Administration implement a complete review of CPD non-lethal and less than lethal use of force techniques with the stated goal of *learning about the use of OC gas or CS smoke in various forms including in the use of pepperballs as a means of crowd or riot control. WE FURTHER MOVE that the report be returned to Council in by the * September meeting for referral to a committee.",,success
2013,202000815,2020-06-24,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0250-2020,emergency ordinance,Accept property conveyance from Ohio DOT on Colerain Avenue in Northside,Accepts conveyance of real property on Colerain Avenue from Ohio Department of Transportation.,infrastructure|transportation,Northside,"ORDINANCE, (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, ACCEPTING the conveyance from the State of Ohio, Department of Transportation, of certain real property adjoining Colerain Avenue in the Northside neighborhood of Cincinnati designated as Hamilton County Auditor’s Parcel No. 195-0029-0171-00.",,success
2014,202000814,2020-06-24,2020-08-04,2021-12-31,Economic Growth & Zoning Committee,Ordinance,Sunset,Economic Growth & Zoning Committee,,ordinance,Rezone 644-664 Crown Street in Walnut Hills for multi-family development,Rezones Crown Street property to allow construction of four-story multi-family building and public parking lot.,zoning|housing,East Walnut Hills,"ORDINANCE, dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AMENDING the official zoning map of the City of Cincinnati to rezone certain real property commonly known as 644-664 Crown Street in the Walnut Hills neighborhood from the T4N.SF, “Transect Zone 4 Neighborhood Small Footprint,” zoning district to the T5N.LS-O, “Transect Zone 5 Neighborhood Large Setback, Open Sub-Zone,” zoning district to allow for the construction of a four-story multi-family building and public parking lot.",PER RULE 7.14- SUNSET OF PRIOR LEGISLATIVE MATTERS. sa,success
2015,202000813,2020-06-24,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0251-2020,emergency ordinance,Appropriating Public Use Property for Western Hills Viaduct Replacement Project,Appropriates public use property needed for the Western Hills Viaduct replacement project.,infrastructure|transportation,citywide,"ORDINANCE, (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, TO APPROPRIATE to public use property required for the Western Hills Viaduct Replacement Project.",,success
2016,202000812,2020-06-24,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0252-2020,emergency ordinance,Grant encroachment easements to Willkommen Holding LLC for utility vault and windows at 1521-1525 Vine Street,Authorizes granting encroachment easements for utility vault and window projects that extend into Vine Street right-of-way.,infrastructure|economic development,Over-the-Rhine,"ORDINANCE, (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to execute a Grant of Encroachment Easements in favor of Willkommen Holding, LLC pursuant to which the City of Cincinnati will grant encroachment easements for a utility vault and window projects located at 1521-1525 Vine Street that encroach upon portions of the Vine Street public right-of-way in the Over-the-Rhine neighborhood of Cincinnati.",,success
